d66,Type,Available,Tons,Base Price,Purchase DM,Sale DM,Examples
11,Basic Electronics,All,1d6 10,10000,"Industrial +2, High Tech +3, Rich +1","Non-Industrial +2, Low Tech +1, Poor +1",Simple electronics including basic computers up to TL 10.
12,Basic Machine Parts,All,1d6 10,10000,"Non-Agricultural +2, Industrial +5","Non-Industrial +3, Agricultural +2",Machine components and spare parts for common machinery.
13,Basic Manufactured Goods,All,1d6 10,10000,"Non-Agricultural +2, Industrial +5","Non-Industrial +3, High population +2","Household appliances, clothing and so forth."
14,Basic Raw Materials,All,1d6 10,5000,"Agricultural +3, Garden +2","Industrial +2, Poor +2","Metal, plastics, chemicals and other basic materials."
15,Basic Consumables,All,1d6 10,2000,"Agricultural +3, Water world +2, Garden +1, Asteroid +4","Asteroid +1, Fluid Oceans +1, Ice-capped +1, High population +1","Food, drink and other agricultural products."
16,Basic Ore,All,1d6 10,1000,"Asteroid +4, Ice-capped +0","Industrial +3, Non-Industrial +1",Ore bearing common metals.
21,Advanced Electronics,"Industrial, High Tech",1d6 5,100000,"Industrial +2, High Tech +3","Non-Industrial +1, Rich +2, Asteroid +3","Advanced sensors, computers and other electronics up to TL 15."
22,Advanced Machine Parts,"Industrial, High Tech",1d6 5,75000,"Industrial +2, High Tech +1","Asteroid +2, Non-Industrial +1","Machine components and spare parts, including gravitic components."
23,Advanced Manufactured Goods,"Industrial, High Tech",1d6 5,100000,"Industrial +2, High Tech +0","High population +1, Rich +2",Devices and clothing incorporating advanced technologies.
24,Advanced Weapons,"Industrial, High Tech",1d6 5,150000,"Industrial +0, High Tech +2","Poor +1, Amber Zone +2, Red Zone +4","Firearms, explosives, ammunition, artillery and other military-grade weaponry."
25,Advanced Vehicles,"Industrial, High Tech",1d6 5,180000,"Industrial +0, High Tech +2","Asteroid +2, Rich +2","Air/rafts, spacecraft, grav tanks and other vehicles up to TL 15."
26,Biochemicals,"Agricultural, Water world",1d6 5,50000,"Agricultural +1, Water world +2 ",Industrial +2,"Biofuels, organic chemicals, extracts."
31,Crystals and Gems,"Asteroid, Desert, Ice-capped",1d6 5,20000,"Asteroid +2, Desert +1, Ice-capped +1","Industrial +3, Rich +2","Diamonds, synthetic or natural gemstones."
